FSN,Animal_Name,Animal_Count,Animal_Distance,Keep_Inside_House,Days_Inside_House
46648,Goats,2,0,1,365
46648,Poultry,5,0,1,365
46650,Cows,1,6,0,-1
46652,Buffaloes,1,5,0,-1
46653,Goats,2,0,1,365
46653,Buffaloes,1,6,0,-1
46654,Goats,1,0,1,365
46654,Buffaloes,1,4,0,-1
46655,Cows,1,5,0,-1
46656,Cows,1,5,0,-1
46662,Cows,2,6,0,-1
46662,Buffaloes,2,6,0,-1
46664,Cows,1,4,0,-1
46667,Cows,1,10,0,-1
46671,Goats,2,5,0,-1
46671,Poultry,2,5,0,-1
46674,Buffaloes,2,1,0,-1
46676,Goats,2,0,1,360
46678,Buffaloes,3,50,0,-1
46680,Goats,3,1,1,360
46681,Poultry,2,0,1,365
46683,Cows,2,10,0,-1
46685,Goats,2,5,1,-1
46686,Goats,2,0,1,365
46689,Goats,2,0,1,365
46689,Pigs,1,0,1,365
46690,Goats,1,0,1,365
46692,Cows,1,4,0,-1
46695,Cows,1,3,0,-1
46695,Goats,4,0,1,365
46698,Goats,3,2,0,-1
46700,Buffaloes,2,2,0,-1
46700,Goats,4,0,1,365
46702,Goats,1,0,1,365
46704,Goats,3,0,1,365
46705,Cows,2,2,1,100
46707,Cows,2,0,1,365
46708,Goats,1,1,1,100
46708,Cows,2,-1,0,-1
46710,Goats,1,0,1,365
46712,Goats,2,0,1,365
46713,Goats,3,0,1,200
46717,Cows,3,0,0,-1
46717,Goats,1,0,1,200
46718,Goats,3,0,1,200
46718,Cows,2,0,1,200
46719,Buffaloes,1,5,0,-1
46719,Goats,2,0,1,200
46721,Goats,2,0,1,200
46722,Cows,2,0,0,-1
46723,Cows,2,6,0,-1
46725,Goats,1,0,1,200
46727,Poultry,1,0,1,180
46728,Poultry,1,0,1,180
46728,Goats,1,0,1,30
46729,Goats,2,5,0,-1
46729,Buffaloes,2,30,0,-1
46729,Poultry,1,5,0,-1
46734,Goats,3,0,1,180
46734,Buffaloes,1,10,0,-1
46734,Poultry,1,0,1,180
46735,Buffaloes,1,25,0,-1
46735,Goats,1,25,0,-1
46737,Goats,1,0,1,90
46741,Goats,1,0,1,80
46742,Poultry,1,0,1,45
46742,Goats,1,0,1,45
46743,Cows,1,3,0,-1
46743,Goats,1,0,1,210
46744,Goats,1,8,0,-1
46749,Goats,1,0,1,365
46750,Poultry,4,0,1,365
46750,Cows,2,18,0,-1
46750,Goats,3,0,1,365
46752,Cows,2,6,0,-1
46752,Poultry,1,0,1,365
46752,Goats,4,0,1,365
46753,Goats,2,0,1,365
46753,Poultry,1,0,1,365
46754,Goats,6,0,1,365
46754,Buffaloes,1,12,0,-1
46755,Goats,1,5,1,120
46756,Goats,1,4,1,120
46760,Goats,3,0,1,365
46760,Cows,3,0,0,-1
46761,Cows,1,20,0,-1
46762,Goats,4,6,0,-1
46762,Cows,2,2,0,-1
46763,Goats,2,0,1,365
46765,Goats,1,0,1,365
46771,Cows,2,0,1,365
46772,Cows,2,5,0,-1
46772,Goats,1,2,0,-1
46775,Goats,3,2,0,-1
46775,Cows,2,60,0,-1
46777,Goats,2,1,0,-1
46780,Goats,1,2,0,-1
46785,Cows,1,10,0,-1
46786,Cows,2,2,0,-1
46790,Cows,2,3,0,-1
46791,Cows,1,0,1,180
46792,Goats,1,0,1,365
46794,Goats,1,0,1,365
46795,Goats,1,0,1,365
46799,Cows,1,10,0,-1
46801,Cows,2,0,1,180
46802,Cows,1,8,0,-1
46802,Goats,3,0,1,365
46803,Cows,1,3,0,-1
46804,Buffaloes,1,0,1,200
46805,Buffaloes,1,1,0,-1
46805,Goats,2,0,1,365
46807,Cows,2,2,1,180
46809,Goats,2,8,0,-1
46809,Cows,1,0,1,180
46810,Buffaloes,1,3,0,-1
46810,Cows,1,3,0,-1
46813,Goats,1,0,1,365
46814,Goats,1,0,1,365
46817,Goats,1,0,1,365
46818,Goats,2,0,1,365
46821,Goats,3,0,1,365
46821,Cows,1,0,1,120
46823,Goats,1,0,1,365
46825,Buffaloes,1,0,1,120
46828,Cows,1,5,0,-1
46829,Cows,1,4,0,-1
46830,Goats,1,0,1,365
46831,Cows,1,5,0,-1
46832,Goats,1,1,1,365
46832,Cows,2,11,0,-1
46832,Buffaloes,1,10,0,-1
46833,Goats,1,0,1,365
46835,Cows,2,15,0,-1
46841,Goats,2,6,0,-1
46842,Cows,2,15,0,-1
46843,Cows,2,15,0,-1
46845,Cows,1,100,0,-1
46851,Cows,1,10,0,-1
46852,Goats,3,4,0,-1
46854,Cows,1,3,0,-1
46859,Goats,1,0,1,365
46861,Poultry,2,0,1,365
46861,Goats,1,0,1,365
46863,Cows,2,14,0,-1
46863,Goats,2,14,0,-1
46864,Goats,1,0,1,365
46866,Goats,1,2,0,-1
46870,Buffaloes,1,10,0,-1
46871,Buffaloes,2,2,0,-1
46872,Goats,2,5,0,-1
46875,Cows,1,10,0,-1
46876,Cows,2,10,0,-1
46877,Goats,1,0,1,90
46878,Buffaloes,1,7,0,-1
46878,Cows,1,7,0,-1
46881,Goats,2,0,1,365
46883,Cows,2,15,0,-1
46889,Cows,9,20,0,-1
