FSN,Radio,Mobile,Sewing_Machine,Watch,Chairs,Tables,Cot_Bed,Motor_Cycle
46646,-1,-1,-1,-1,-1,-1,1,-1
46647,-1,1,-1,-1,1,1,2,-1
46648,-1,-1,-1,1,-1,-1,3,-1
46649,-1,-1,-1,-1,-1,-1,1,-1
46650,-1,1,-1,-1,-1,-1,3,-1
46651,-1,-1,-1,-1,-1,-1,1,-1
46652,-1,1,-1,-1,1,1,2,-1
46653,-1,-1,-1,-1,2,1,-1,-1
46654,-1,-1,-1,-1,-1,-1,2,-1
46655,-1,1,-1,1,2,1,3,1
46656,-1,1,-1,1,2,-1,2,-1
46657,-1,-1,-1,-1,2,1,2,-1
46658,-1,1,-1,-1,2,-1,2,1
46660,-1,1,-1,-1,3,1,3,-1
46661,-1,1,-1,-1,5,3,4,-1
46662,1,1,-1,2,4,2,5,-1
46663,-1,-1,-1,-1,-1,-1,2,-1
46664,-1,1,-1,-1,2,-1,4,-1
46667,-1,1,-1,1,4,1,5,-1
46669,-1,-1,1,-1,-1,1,2,-1
46670,-1,-1,-1,-1,1,1,2,-1
46671,-1,-1,-1,-1,2,1,1,-1
46672,-1,-1,-1,1,2,1,1,-1
46673,-1,-1,-1,-1,-1,1,2,-1
46674,1,1,-1,1,2,1,3,-1
46675,1,1,-1,1,2,1,-1,-1
46676,-1,1,-1,1,2,1,5,-1
46678,-1,1,-1,-1,2,1,4,-1
46679,-1,1,-1,-1,1,1,2,-1
46680,-1,-1,-1,1,2,1,3,-1
46681,-1,-1,-1,-1,-1,-1,1,-1
46682,-1,1,-1,-1,2,1,5,-1
46683,-1,-1,-1,-1,1,1,3,-1
46685,-1,1,-1,1,2,1,3,1
46686,-1,-1,1,1,-1,-1,1,-1
46687,-1,-1,-1,1,-1,-1,1,-1
46688,1,1,-1,-1,2,1,1,-1
46689,-1,-1,-1,1,-1,-1,2,-1
46690,-1,-1,-1,-1,2,1,2,-1
46691,-1,-1,-1,-1,-1,-1,1,-1
46692,-1,-1,-1,-1,-1,-1,2,-1
46693,-1,1,-1,1,-1,-1,1,-1
46694,-1,1,-1,-1,2,1,1,-1
46695,-1,-1,-1,1,-1,-1,2,-1
46697,-1,1,-1,-1,-1,-1,1,-1
46698,-1,-1,-1,-1,-1,-1,1,-1
46699,-1,-1,-1,1,2,1,1,-1
46700,-1,1,-1,1,-1,-1,2,-1
46701,-1,-1,-1,-1,-1,-1,2,-1
46702,-1,-1,-1,1,2,-1,2,-1
46703,-1,1,-1,1,2,1,2,-1
46704,-1,-1,-1,-1,-1,-1,3,-1
46705,-1,1,-1,-1,-1,-1,3,-1
46707,-1,1,-1,1,2,1,3,-1
46708,-1,1,-1,1,5,1,4,-1
46709,-1,-1,-1,-1,-1,-1,2,-1
46710,-1,-1,-1,-1,1,1,2,-1
46711,-1,1,-1,-1,-1,1,2,-1
46712,-1,-1,-1,-1,-1,-1,2,-1
46713,-1,-1,-1,-1,-1,-1,1,-1
46714,-1,1,-1,-1,-1,-1,2,-1
46715,-1,-1,-1,-1,-1,-1,1,-1
46716,-1,-1,-1,-1,-1,-1,1,-1
46717,-1,1,-1,-1,2,-1,4,-1
46718,-1,1,-1,-1,-1,-1,2,-1
46719,-1,-1,-1,-1,-1,-1,3,-1
46720,-1,-1,-1,1,2,-1,3,-1
46721,-1,-1,-1,-1,-1,-1,2,-1
46722,-1,1,-1,-1,2,1,5,-1
46723,-1,1,1,-1,1,1,3,-1
46724,-1,1,-1,-1,-1,-1,1,-1
46725,-1,-1,-1,-1,1,-1,3,-1
46726,-1,-1,-1,-1,-1,-1,2,-1
46727,-1,-1,-1,-1,-1,-1,2,-1
46728,-1,1,-1,1,-1,-1,2,-1
46729,-1,1,-1,1,-1,-1,5,-1
46730,-1,-1,-1,1,-1,-1,1,-1
46731,-1,-1,-1,1,-1,-1,-1,-1
46732,-1,1,-1,-1,-1,1,1,-1
46733,-1,1,-1,-1,-1,-1,1,-1
46734,-1,-1,-1,-1,-1,-1,2,-1
46735,-1,1,-1,1,-1,-1,3,-1
46736,-1,1,-1,-1,-1,-1,2,1
46737,-1,1,-1,-1,-1,-1,3,-1
46738,-1,1,-1,1,2,1,1,-1
46739,-1,1,-1,-1,2,1,1,-1
46740,-1,-1,-1,-1,1,1,1,-1
46741,-1,-1,-1,-1,2,1,1,-1
46742,-1,1,2,1,-1,-1,3,-1
46743,-1,1,-1,-1,-1,-1,3,-1
46744,1,-1,-1,-1,2,3,4,1
46745,1,1,-1,1,4,1,3,-1
46746,-1,1,-1,-1,-1,-1,1,-1
46747,-1,-1,-1,-1,-1,-1,1,-1
46748,-1,-1,-1,-1,-1,-1,1,-1
46749,-1,-1,-1,-1,2,-1,2,-1
46750,-1,1,-1,-1,2,-1,5,-1
46751,-1,-1,-1,-1,-1,-1,1,-1
46752,1,1,-1,1,-1,-1,4,-1
46753,-1,1,-1,-1,-1,-1,2,-1
46754,-1,1,-1,-1,-1,-1,3,-1
