id,fsn,neem_tree,neem_tree_distance,neem_tree_size,neem_tree_age,neem_tree_usage,neem_tree_use_other,bamboo_tree,bamboo_tree_dist,banana_tree,banana_tree_dist,rice_field,rice_field_dist,perm_water_body,perm_wat_body_dist,wat_body_mid_point,no_mosquito_net,sprayed_2010,sprayed_2009,floor_material,other_floor_mat,is_floor_damp,roof_material,other_roof_material,wall_material,other_wall_material,windows_in_room,granaries_in_hh,source_drink_water,other_src_drink_wat,toilet_facility,other_toilet_fac,cooking_fuel,other_cooking_fuel,source_light,other_source_light,electricity_in_hh,no_of_rooms,no_sleeping_rooms
1,45001,0,-1,-1,-1,,,1,3,0,-1,1,4,0,-1,-1,0,86,86,153,-1,1,161,-1,164,-1,1,1,167,-1,177,-1,180,-1,182,-1,0,2,2
2,45002,0,-1,-1,-1,,,1,10,0,-1,1,12,0,-1,-1,2,86,86,153,-1,1,159,-1,164,-1,1,1,167,-1,177,-1,180,-1,182,-1,0,2,2
3,45003,0,-1,-1,-1,,,1,16,0,-1,1,16,0,-1,-1,1,86,86,153,-1,1,158,-1,164,-1,1,1,92,-1,177,-1,180,-1,182,-1,0,3,2
4,45004,0,-1,-1,-1,,,1,17,0,-1,1,13,0,-1,-1,0,86,86,153,-1,1,156,-1,162,-1,0,0,92,-1,177,-1,180,-1,182,-1,0,1,1
5,45005,0,-1,-1,-1,,,1,5,0,-1,1,4,0,-1,-1,0,86,86,153,-1,1,156,-1,163,-1,0,1,92,-1,177,-1,180,-1,182,-1,0,2,2
6,45006,0,-1,-1,-1,,,1,4,0,-1,1,13,0,-1,-1,0,86,86,153,-1,1,156,-1,163,-1,0,1,92,-1,177,-1,180,-1,182,-1,0,3,2
7,45007,0,-1,-1,-1,,,1,15,0,-1,1,10,0,-1,-1,0,86,86,153,-1,1,156,-1,162,-1,0,0,92,-1,177,-1,180,-1,182,-1,0,2,2
8,45008,0,-1,-1,-1,,,1,3,1,5,1,10,0,-1,-1,0,86,86,153,-1,1,158,-1,164,-1,1,1,92,-1,177,-1,180,-1,182,-1,0,1,1
9,45009,0,-1,-1,-1,,,1,1,1,1,1,7,0,-1,-1,1,86,86,155,-1,0,158,-1,164,-1,1,1,92,-1,177,-1,180,-1,182,-1,0,3,1
10,45010,0,-1,-1,-1,,,1,10,0,-1,1,12,0,-1,-1,0,86,86,153,-1,1,156,-1,162,-1,0,0,92,-1,177,-1,180,-1,182,-1,0,1,1
11,45011,0,-1,-1,-1,,,1,10,0,-1,1,12,0,-1,-1,0,86,86,153,-1,1,159,-1,162,-1,0,0,92,-1,177,-1,180,-1,182,-1,0,1,1
12,45012,0,-1,-1,-1,,,1,12,0,-1,1,15,0,-1,-1,2,86,86,155,-1,0,158,-1,165,-1,1,1,167,-1,174,-1,180,-1,182,-1,0,2,2
13,45013,0,-1,-1,-1,,,1,12,0,-1,1,15,0,-1,-1,1,86,86,155,-1,0,158,-1,165,-1,1,1,92,-1,174,-1,180,-1,182,-1,0,1,1
14,45014,0,-1,-1,-1,,,1,12,0,-1,1,15,0,-1,-1,1,86,86,155,-1,0,158,-1,165,-1,1,0,92,-1,174,-1,180,-1,182,-1,0,2,1
15,45015,0,-1,-1,-1,,,1,20,0,-1,1,10,0,-1,-1,1,86,86,153,-1,1,158,-1,164,-1,1,1,167,-1,177,-1,180,-1,182,-1,0,2,1
16,45016,0,-1,-1,-1,,,1,20,0,-1,1,10,0,-1,-1,1,86,86,153,-1,1,54,-1,164,-1,0,1,92,-1,177,-1,180,-1,182,-1,0,2,1
17,45017,0,-1,-1,-1,,,1,20,0,-1,1,10,0,-1,-1,1,86,86,153,-1,1,54,-1,164,-1,0,1,92,-1,177,-1,180,-1,182,-1,0,1,1
18,45018,0,-1,-1,-1,,,1,21,0,-1,1,11,0,-1,-1,0,86,86,153,-1,1,54,-1,164,-1,0,0,92,-1,177,-1,180,-1,182,-1,0,1,1
19,45020,1,15,3,6,184_,,1,21,1,5,1,7,0,-1,-1,0,86,86,153,-1,1,158,-1,164,-1,1,1,167,-1,177,-1,180,-1,182,-1,0,3,1
20,45021,1,10,3,6,184_,,0,-1,1,12,1,5,0,-1,-1,3,86,86,153,-1,1,6,,165,-1,1,1,167,-1,174,-1,180,-1,6,,0,2,2
21,45022,1,10,3,6,184_,,0,-1,1,12,1,5,0,-1,-1,2,86,86,153,-1,1,6,,165,-1,1,0,167,-1,174,-1,180,-1,182,-1,0,2,2
22,45023,1,10,3,6,184_,,0,-1,1,12,1,5,0,-1,-1,1,86,86,153,-1,1,6,,165,-1,1,1,167,-1,174,-1,180,-1,182,-1,0,1,1
23,45024,1,30,5,6,184_,USING ON WOUNDS,1,25,1,20,1,5,0,-1,-1,0,86,86,153,-1,1,54,-1,164,-1,1,1,92,-1,174,-1,180,-1,182,-1,0,1,1
24,45025,1,30,5,6,184_,,1,25,1,20,1,5,0,-1,-1,1,86,86,155,-1,0,6,,165,-1,1,0,92,-1,174,-1,180,-1,6,,0,2,2
25,45026,1,30,5,6,184_,,1,25,1,20,1,5,0,-1,-1,1,86,86,153,-1,1,54,-1,164,-1,1,1,92,-1,174,-1,180,-1,182,-1,0,1,1
26,45027,1,10,5,6,184_,,0,-1,1,2,1,2,0,-1,-1,1,86,86,153,-1,1,158,-1,164,-1,1,0,167,-1,174,-1,180,-1,182,-1,0,2,1
27,45028,1,30,5,6,184_,,1,25,1,20,1,5,0,-1,-1,0,86,86,153,-1,1,54,-1,164,-1,1,1,92,-1,174,-1,180,-1,182,-1,0,1,1
28,45029,1,20,5,6,184_,,1,25,1,20,1,5,0,-1,-1,0,86,86,153,-1,1,54,-1,164,-1,1,1,92,-1,174,-1,180,-1,182,-1,0,1,1
29,45030,1,35,5,6,188_,,0,-1,1,4,1,15,0,-1,-1,0,86,86,153,-1,1,6,,164,-1,1,1,167,-1,177,-1,180,-1,182,-1,0,2,2
30,45032,1,30,5,6,184_,,0,-1,1,2,1,10,0,-1,-1,1,86,86,153,-1,1,156,-1,162,-1,0,1,92,-1,177,-1,180,-1,182,-1,0,1,1
31,45033,1,30,5,6,184_,,0,-1,1,0,1,0,0,-1,-1,0,86,86,153,-1,1,156,-1,162,-1,0,0,92,-1,177,-1,180,-1,182,-1,0,2,1
32,45034,1,15,5,6,184_,,0,-1,1,5,1,5,0,-1,-1,1,86,86,153,-1,1,156,-1,162,-1,0,0,92,-1,174,-1,180,-1,182,-1,0,2,1
33,45035,1,1,5,6,184_,,0,-1,1,10,1,5,0,-1,-1,1,86,86,153,-1,1,156,-1,162,-1,0,0,92,-1,177,-1,180,-1,182,-1,0,2,2
34,45036,1,30,2,4,184_,,1,20,1,10,1,5,0,-1,-1,4,86,86,153,-1,1,54,-1,165,-1,1,0,167,-1,174,-1,180,-1,6,,0,3,2
35,45037,1,12,2,4,"184_ 185,",,0,-1,1,5,1,3,0,-1,-1,3,86,86,153,-1,1,158,-1,164,-1,1,0,167,-1,174,-1,180,-1,6,,1,3,2
