fsn,panchyat_id,village_id,ward_no,household_no,household_head_age,household_head_sex,household_head_religion,household_head_caste,household_head_subcaste
45001,2,11,1,21,50,2,4,9,PASWAN
45002,2,11,1,680,35,2,4,9,PASWAN
45003,2,11,1,290,60,2,4,9,PASWAN
45004,2,11,1,3390,35,2,4,9,PASWAN
45005,2,11,1,181,40,2,4,9,PASWAN
45006,2,11,1,3501,40,2,4,9,PASWAN
45007,2,11,1,1401,60,2,4,9,PASWAN
45008,2,11,1,2330,23,2,4,9,PASWAN
45009,2,11,1,3750,25,2,4,9,PASWAN
45010,2,11,1,2371,40,3,4,9,PASWAN
45011,2,11,1,3040,50,2,4,9,PASWAN
45012,2,11,1,1150,68,2,5,7,SHEIKH
45013,2,11,1,1802,28,2,5,7,SHEIKH
45014,2,11,1,1000,22,2,5,7,SHEIKH
45015,2,11,1,2011,65,2,5,7,SHEIKH
45016,2,11,1,71,40,2,5,7,SHEIKH
45017,2,11,1,2181,36,2,5,7,SHEIKH
45018,2,11,1,256,35,2,5,7,SHEIKH
45020,2,11,1,631,30,2,5,7,SHEIKH
45021,2,11,1,1681,51,2,5,7,SHEIKH
45022,2,11,1,3980,55,2,5,7,SHEIKH
45023,2,11,1,4860,42,2,5,7,SHEIKH
45024,2,11,1,5330,40,2,5,7,SHEIKH
45025,2,11,1,580,55,2,5,7,SHEIKH
45026,2,11,1,3761,35,2,5,7,SHEIKH
45027,2,11,1,4990,70,2,5,7,SHEIKH
45028,2,11,1,690,47,2,5,8,DHUNIYA
45029,2,11,1,1151,44,2,5,8,DHUNIYA
45030,2,11,1,2780,45,2,5,8,DHUNIYA
45032,2,11,1,1761,55,2,5,8,DHUNIYA
45033,2,11,1,1190,75,3,5,8,DHUNIYA
45034,2,11,1,4960,52,2,5,8,DHUNIYA
45035,2,11,1,321,25,2,5,8,DHUNIYA
45036,2,11,1,5510,36,2,5,8,DHUNIYA
45037,2,11,1,3860,55,2,5,8,DHUNIYA
45038,2,11,1,1260,48,2,4,9,PASWAN
45039,2,11,1,3350,28,2,4,9,PASWAN
45040,2,11,1,1481,38,3,4,9,PASWAN
45041,2,11,1,260,20,2,4,9,PASWAN
45042,2,11,1,1720,45,2,4,9,PASWAN
45043,2,11,1,1771,30,2,4,9,PASWAN
45044,2,11,1,2921,60,2,4,9,PASWAN
45045,2,11,1,2950,50,2,4,9,PASWAN
45046,2,11,1,2410,65,2,4,9,PASWAN
45047,2,11,1,2271,65,2,4,9,PASWAN
45048,2,11,1,3870,50,2,4,9,PASWAN
45049,2,11,1,11,60,2,4,9,PASWAN
45050,2,11,1,1370,50,2,4,9,PASWAN
45051,2,11,1,4870,38,2,4,9,PASWAN
45052,2,11,1,3180,40,2,4,9,PASWAN
45053,2,11,1,2900,40,2,4,9,PASWAN
45054,2,11,1,2180,60,2,4,9,PASWAN
45055,2,11,1,1160,50,2,4,9,PASWAN
45056,2,11,1,1320,50,3,4,9,PASWAN
45057,2,11,7,522,30,2,4,9,PASWAN
45058,2,11,1,1173,35,2,4,9,PASWAN
45059,2,11,1,4280,48,2,4,9,PASWAN
45060,2,11,1,5410,35,2,4,9,PASWAN
45061,2,11,1,612,40,2,4,9,PASWAN
45062,2,11,1,3500,70,2,4,9,PASWAN
45063,2,11,1,10,45,2,4,9,PASWAN
45064,2,11,1,5280,40,2,4,9,PASWAN
45065,2,11,1,5320,70,2,4,9,PASWAN
45066,2,11,1,1090,50,2,4,9,PASWAN
45067,2,11,1,721,38,2,4,9,PASWAN
45068,2,11,1,3940,40,2,4,9,PASWAN
45069,2,11,1,4490,38,2,4,9,PASWAN
45070,2,11,1,910,60,2,4,9,PASWAN
45071,2,11,1,760,55,2,4,9,PASWAN
45072,2,11,1,1971,60,2,4,9,PASWAN
45073,2,11,1,2460,40,2,4,9,PASWAN
45074,2,11,1,4140,45,2,4,9,PASWAN
45075,2,11,1,3880,55,2,4,9,PASWAN
45076,2,11,1,1410,60,2,4,9,PASWAN
45077,2,11,1,1571,32,2,4,9,PASWAN
45078,2,11,1,4270,24,2,4,9,PASWAN
45079,2,11,1,2190,70,2,4,9,PASWAN
45080,2,11,1,4940,60,2,4,9,PASWAN
45081,2,11,1,982,75,2,4,9,PASWAN
45082,2,11,1,1520,30,2,4,9,PASWAN
