tot_parg,damp_floor,animals,stove,ventilation,light,cowdung,water,asset_index,house_type
1,1,0,0,1,0,1,1,5,pbrick_efloor
1,1,0,1,0,0,1,0,1,upbrick
1,1,0,0,1,0,1,0,3,upbrick
1,1,0,0,1,0,1,0,3,upbrick
1,1,0,0,1,0,1,0,5,pbrick_efloor
1,0,0,0,1,1,1,0,5,pbrick_cfloor
2,0,0,0,1,1,1,0,5,pbrick_cfloor
2,1,0,0,1,1,1,1,4,pbrick_efloor
3,1,0,0,0,0,1,0,3,upbrick
3,1,0,0,0,0,1,0,4,pbrick_efloor
3,1,0,0,0,0,1,0,5,pbrick_efloor
3,1,0,0,1,1,1,0,5,upbrick
3,0,0,0,1,1,1,0,5,pbrick_cfloor
3,1,0,0,1,0,1,0,5,pbrick_efloor
3,1,0,0,1,0,1,0,4,pbrick_efloor
3,1,0,0,1,1,1,0,5,pbrick_efloor
3,1,0,0,0,0,1,0,4,upbrick
3,1,1,0,0,0,1,1,1,thatched
3,1,0,0,0,1,1,0,3,thatched
4,0,0,0,1,1,1,1,5,pbrick_cfloor
4,1,0,0,0,0,1,0,4,upbrick
4,0,0,0,1,1,1,0,5,pbrick_cfloor
4,0,0,0,1,1,1,1,3,pbrick_cfloor
4,1,0,0,0,1,1,1,1,thatched
4,1,0,0,1,1,1,0,1,upbrick
5,1,0,0,1,0,1,0,3,pbrick_efloor
5,1,0,0,1,1,1,0,4,pbrick_efloor
5,0,0,0,0,0,1,0,4,pbrick_cfloor
5,1,0,0,0,0,1,0,3,upbrick
5,1,0,0,0,0,1,0,4,pbrick_efloor
5,1,0,0,0,1,1,0,4,pbrick_efloor
5,0,0,0,0,0,1,0,2,pbrick_cfloor
5,1,0,0,0,0,1,0,4,thatched
5,1,0,0,1,1,1,0,5,pbrick_efloor
5,1,0,0,0,0,1,0,,pbrick_efloor
5,0,0,0,0,0,1,0,5,pbrick_cfloor
6,1,0,0,0,0,1,0,5,upbrick
6,0,0,0,1,1,1,0,5,upbrick
6,1,0,0,0,1,1,0,1,thatched
6,1,0,0,0,0,1,0,2,upbrick
6,0,0,0,1,1,1,0,4,pbrick_cfloor
6,1,0,0,0,1,1,0,1,upbrick
6,1,0,0,1,0,1,0,5,pbrick_efloor
6,0,0,0,1,1,0,1,3,pbrick_cfloor
6,0,0,0,1,1,0,1,5,pbrick_cfloor
6,1,0,0,1,1,1,0,5,pbrick_efloor
6,1,0,0,1,0,1,0,,pbrick_efloor
6,1,0,0,0,0,1,1,5,pbrick_efloor
6,0,0,0,1,0,1,0,,pbrick_cfloor
7,1,0,0,0,0,1,0,4,upbrick
7,1,0,0,1,0,1,0,2,upbrick
7,1,0,0,0,0,1,0,3,upbrick
7,1,0,0,0,0,1,1,3,upbrick
7,1,0,0,0,0,1,0,3,upbrick
7,1,0,0,0,0,1,0,2,upbrick
7,0,0,0,0,0,1,0,5,pbrick_cfloor
7,1,0,0,1,1,1,0,5,pbrick_efloor
7,1,0,0,0,0,1,0,5,pbrick_efloor
7,0,0,0,1,1,1,0,5,pbrick_cfloor
7,1,0,0,0,0,1,0,5,upbrick
7,1,0,0,1,1,1,1,5,pbrick_efloor
7,1,0,1,0,0,1,0,1,thatched
7,1,0,0,0,0,1,1,3,upbrick
8,1,0,0,0,0,1,0,1,upbrick
8,0,0,0,1,0,1,0,5,pbrick_cfloor
8,0,0,0,0,0,1,0,4,pbrick_cfloor
8,1,0,0,1,0,1,0,5,pbrick_efloor
8,1,0,0,1,0,1,0,4,pbrick_efloor
8,1,0,0,0,0,1,0,1,upbrick
8,1,1,0,1,1,0,0,2,thatched
8,1,0,0,0,0,1,0,1,thatched
8,1,0,0,0,0,1,1,1,thatched
8,1,0,0,1,0,1,0,5,pbrick_efloor
8,1,0,0,1,0,1,0,2,pbrick_efloor
8,1,0,0,0,0,1,0,5,thatched
8,1,0,0,0,0,1,0,1,pbrick_efloor
8,1,0,0,1,0,1,0,3,upbrick
8,0,0,0,1,1,1,0,5,pbrick_cfloor
8,1,0,0,0,0,0,1,5,pbrick_efloor
8,1,0,0,1,0,1,0,4,pbrick_efloor
8,1,0,0,1,1,1,0,4,pbrick_efloor
9,1,0,0,1,0,1,0,2,upbrick
9,0,0,0,1,1,1,0,5,pbrick_cfloor
9,1,0,0,0,0,1,0,5,upbrick
9,1,0,0,0,0,1,0,4,thatched
9,1,0,1,1,1,1,0,2,upbrick
9,1,0,0,0,1,1,0,2,upbrick
9,0,0,0,1,1,1,1,5,pbrick_cfloor
10,1,0,0,0,0,1,0,3,upbrick
10,0,0,0,1,0,1,0,5,pbrick_cfloor
10,1,0,0,1,0,1,0,4,upbrick
10,1,0,0,0,0,1,0,1,thatched
10,1,0,0,1,0,1,0,3,thatched
10,1,0,0,1,0,1,0,1,pbrick_efloor
10,1,0,0,1,0,1,1,5,upbrick
10,1,0,0,1,0,1,0,5,pbrick_efloor
10,1,0,0,1,0,1,0,2,thatched
10,1,0,0,0,1,1,0,1,upbrick
10,1,0,0,1,0,1,0,4,upbrick
10,0,0,0,1,1,1,0,5,pbrick_cfloor
10,1,0,0,1,1,1,0,2,upbrick
10,0,0,0,1,1,0,0,5,pbrick_cfloor
10,1,0,0,0,0,1,0,4,pbrick_efloor
10,1,0,0,0,0,1,0,2,thatched
10,1,0,0,0,0,1,0,4,upbrick
10,1,0,0,0,0,1,1,3,upbrick
11,1,0,0,0,0,1,0,1,pbrick_efloor
11,1,0,0,1,0,1,0,2,upbrick
11,1,0,0,0,0,1,0,3,thatched
11,1,0,0,0,0,1,0,4,upbrick
11,0,0,0,1,0,1,0,4,pbrick_cfloor
11,0,0,0,1,0,1,0,,pbrick_cfloor
11,1,0,0,1,0,1,0,5,pbrick_efloor
11,1,0,0,0,0,1,0,5,pbrick_efloor
11,1,0,1,0,0,1,0,3,thatched
11,1,0,0,0,1,1,0,3,upbrick
11,1,0,0,0,0,1,0,4,pbrick_efloor
11,1,0,0,0,0,1,0,4,upbrick
11,1,0,0,1,1,1,1,3,pbrick_efloor
11,1,0,0,1,1,1,0,5,pbrick_efloor
11,0,0,0,1,0,1,1,,pbrick_cfloor
11,1,0,0,1,1,1,0,4,pbrick_efloor
11,0,0,0,1,0,1,1,5,pbrick_cfloor
11,0,0,0,1,1,0,0,5,pbrick_cfloor
11,1,0,0,1,0,1,1,5,pbrick_efloor
11,1,0,0,0,0,1,0,5,pbrick_efloor
12,1,0,0,0,0,1,0,3,thatched
12,1,0,0,0,0,1,0,2,pbrick_efloor
12,1,0,0,1,1,1,0,3,pbrick_efloor
12,1,0,0,1,1,1,0,4,upbrick
12,1,0,0,0,0,1,0,4,thatched
12,1,0,0,1,0,1,0,5,upbrick
12,1,0,0,0,0,1,0,4,thatched
12,1,0,0,0,1,1,0,3,pbrick_efloor
12,1,0,0,1,0,1,0,1,pbrick_efloor
13,1,0,0,0,1,1,0,4,pbrick_efloor
13,1,0,0,0,0,1,0,4,upbrick
13,1,0,0,0,0,1,0,1,thatched
13,0,0,0,1,1,1,0,1,pbrick_cfloor
13,1,0,0,0,1,1,0,1,thatched
13,1,0,0,0,0,0,1,1,upbrick
13,0,0,0,1,1,1,0,5,pbrick_cfloor
13,1,0,0,1,1,1,1,5,upbrick
13,1,0,0,1,0,1,1,5,pbrick_efloor
13,1,0,0,0,0,1,0,3,upbrick
13,0,0,0,0,0,1,0,4,pbrick_cfloor
13,0,0,0,0,0,1,0,5,pbrick_cfloor
14,1,0,0,0,0,1,0,2,pbrick_efloor
14,1,0,0,0,0,1,0,5,upbrick
14,0,0,0,1,1,0,0,3,pbrick_cfloor
14,1,0,0,0,1,1,1,3,upbrick
14,0,0,0,0,0,1,0,5,pbrick_cfloor
14,1,0,0,0,1,1,0,1,thatched
14,1,0,0,0,0,1,0,1,upbrick
15,1,0,0,0,0,1,0,1,thatched
15,1,0,0,1,1,1,0,5,pbrick_efloor
15,1,0,0,0,0,1,0,4,upbrick
15,1,0,0,0,0,1,0,1,upbrick
15,0,0,0,1,0,1,0,3,pbrick_cfloor
15,1,0,0,1,0,1,0,1,upbrick
15,0,0,0,1,1,0,1,3,pbrick_cfloor
15,0,0,0,0,1,1,1,1,upbrick
15,1,0,0,0,0,1,0,2,pbrick_efloor
15,1,0,0,0,0,1,0,4,upbrick
15,1,0,0,0,0,1,0,3,upbrick
16,1,0,0,0,0,1,0,3,upbrick
16,1,0,0,1,1,1,1,5,pbrick_efloor
16,1,0,0,0,0,1,0,1,upbrick
16,1,0,0,0,0,1,0,3,upbrick
16,1,0,0,0,0,1,0,5,upbrick
16,1,0,0,0,0,1,1,3,thatched
16,1,0,0,0,1,1,0,5,thatched
16,0,1,0,1,1,1,1,5,pbrick_cfloor
16,1,0,0,1,0,1,1,3,upbrick
17,0,0,0,1,1,1,1,5,pbrick_cfloor
17,1,0,0,0,0,1,0,5,upbrick
17,1,0,0,0,0,1,0,4,upbrick
17,1,0,1,0,0,1,0,1,thatched
17,1,0,0,0,1,1,0,1,upbrick
17,1,0,0,1,1,0,0,3,pbrick_efloor
17,0,0,0,1,1,1,1,5,pbrick_cfloor
17,1,0,0,1,1,1,0,,pbrick_efloor
17,1,0,0,1,1,1,0,,pbrick_efloor
17,1,0,0,0,0,1,0,3,upbrick
17,1,0,0,1,1,1,0,5,upbrick
18,0,0,0,1,1,1,0,2,pbrick_cfloor
18,1,0,0,1,1,1,1,4,pbrick_efloor
18,1,0,0,1,0,1,0,4,pbrick_efloor
18,1,0,0,0,0,1,0,4,thatched
18,1,0,0,1,1,1,0,4,pbrick_cfloor
18,1,0,0,1,0,1,0,5,pbrick_efloor
18,1,0,0,1,0,1,0,5,thatched
18,0,0,0,0,1,1,0,5,pbrick_cfloor
18,0,0,0,1,1,0,1,5,upbrick
18,1,0,0,0,0,1,0,3,thatched
18,1,0,0,1,1,0,1,5,pbrick_efloor
18,1,0,0,1,1,1,0,4,pbrick_efloor
18,1,0,0,0,0,1,0,1,upbrick
18,1,0,0,0,0,1,0,4,thatched
18,1,0,0,0,1,1,0,1,upbrick
18,1,0,0,0,0,1,0,3,upbrick
19,1,0,0,1,0,1,0,2,upbrick
19,0,0,0,1,0,1,0,1,pbrick_cfloor
19,0,0,0,1,0,1,0,,pbrick_cfloor
19,1,0,0,0,0,1,0,4,thatched
19,1,0,0,0,0,1,0,3,thatched
19,1,0,0,1,0,1,0,3,thatched
19,1,0,0,0,0,1,0,1,thatched
19,1,0,0,0,0,1,0,5,pbrick_efloor
19,0,0,0,1,1,1,0,5,pbrick_cfloor
19,1,0,0,0,0,1,0,1,thatched
19,1,0,0,0,0,1,0,5,upbrick
19,1,0,0,1,0,1,0,5,upbrick
20,1,0,0,1,1,1,1,5,upbrick
20,1,0,0,0,0,1,0,3,upbrick
20,1,0,0,0,0,1,1,4,thatched
20,1,0,0,0,0,1,0,4,pbrick_efloor
20,1,0,0,1,1,1,0,1,pbrick_efloor
20,1,0,0,0,0,1,1,1,thatched
20,0,0,0,0,1,1,0,5,pbrick_cfloor
20,1,0,0,0,0,1,1,3,pbrick_efloor
21,1,0,0,0,0,1,0,3,pbrick_efloor
21,1,1,1,1,1,1,0,1,thatched
21,1,0,0,0,0,1,0,4,thatched
21,0,0,0,0,1,1,0,4,pbrick_cfloor
21,1,0,0,0,0,1,0,3,upbrick
21,1,1,0,1,0,1,0,3,thatched
22,1,0,0,1,1,1,0,3,pbrick_efloor
22,0,0,0,1,1,1,0,5,pbrick_cfloor
22,1,0,0,0,0,1,0,1,thatched
22,1,0,0,0,0,1,0,2,thatched
22,1,0,0,1,1,1,0,3,pbrick_efloor
23,1,0,0,0,1,1,0,2,upbrick
23,1,0,0,1,1,1,0,2,upbrick
23,1,0,0,1,1,1,1,5,upbrick
23,1,0,0,0,1,1,0,2,upbrick
23,1,0,0,0,0,1,1,5,pbrick_efloor
23,1,0,0,0,0,1,0,2,pbrick_efloor
23,1,0,0,0,0,1,0,4,pbrick_efloor
23,1,0,0,0,0,1,0,1,upbrick
23,1,0,0,0,0,1,1,3,thatched
24,1,0,0,0,0,1,1,1,thatched
24,1,0,0,0,0,1,0,5,pbrick_efloor
24,1,0,0,1,0,1,1,1,upbrick
24,1,0,0,0,0,1,0,1,thatched
24,1,0,0,1,1,1,0,5,upbrick
24,1,0,0,0,0,1,1,3,thatched
24,1,0,0,1,1,1,0,3,upbrick
24,1,0,1,0,0,1,0,3,thatched
25,1,0,0,0,0,1,0,4,pbrick_efloor
