idt,sex,pari,city,migra,pari2,pari3,dens1,denscat1,age,agegr,civ3,civ4,educ,occup,mpm
301,1,2,1,1,2,2,1.6,2,52,3,2,2,1,1,0
302,2,2,3,1,2,2,1.3,2,30,2,2,2,2,1,0
601,2,0,3,1,1,1,1.7,2,73,3,3,3,1,1,1
605,2,0,1,1,1,1,.8,1,39,2,1,1,1,3,1
1002,2,0,3,1,1,1,1,2,63,3,2,2,2,1,0
1003,2,0,1,1,1,1,.8,1,25,1,1,1,9,1,0
1302,1,2,1,1,2,2,.8,1,35,2,2,2,2,1,0
1702,2,3,1,1,2,3,1,2,35,2,2,2,2,1,1
1903,2,0,2,0,1,1,1.3,2,35,2,1,1,2,1,0
2001,1,3,3,0,2,3,1.7,2,34,2,2,2,2,1,1
2101,1,1,3,1,2,2,1,2,39,2,2,2,2,1,0
2102,2,0,2,1,1,1,2,3,38,2,2,2,1,1,0
2201,2,0,1,1,1,1,.8,1,59,3,2,2,1,2,1
2205,1,0,2,0,1,1,.8,1,23,1,1,1,2,1,0
2301,1,3,1,1,2,3,1,2,47,3,2,2,1,1,0
2302,2,0,2,1,1,1,1,2,56,3,2,2,1,2,1
2701,1,2,2,1,2,2,1.3,2,39,2,2,2,2,1,0
2702,2,2,2,1,2,2,1.3,2,27,1,2,2,2,2,0
3301,2,1,3,1,2,2,1,2,30,2,2,2,2,1,0
3401,2,0,1,1,1,1,1,2,37,2,1,1,2,1,1
3501,1,1,3,1,2,2,1,2,34,2,2,2,2,1,0
3502,2,1,3,1,2,2,1,2,33,2,2,2,2,1,1
3802,2,1,2,0,2,2,1.5,2,30,2,2,2,1,2,0
3901,2,1,3,1,2,2,1,2,48,3,2,2,1,2,1
4001,1,0,2,1,1,1,.7,1,40,2,2,2,2,1,0
4002,2,0,2,1,1,1,.7,1,38,2,2,2,2,1,0
4103,2,0,3,1,1,1,1.3,2,45,3,1,1,2,1,0
4401,2,1,2,1,2,2,1.7,2,42,2,2,2,1,3,1
4502,2,3,2,0,2,3,1.7,2,28,1,2,2,2,2,0
4602,2,2,2,0,2,2,1.3,2,27,1,2,2,2,3,0
4802,2,2,2,1,2,2,1.3,2,34,2,2,2,2,1,0
5002,2,4,2,1,2,3,2,3,34,2,2,2,1,2,1
5002,2,0,1,1,1,1,.8,1,53,3,2,2,1,2,1
5102,2,2,1,1,2,2,1,2,29,1,2,2,2,2,0
5102,2,0,2,1,1,1,1.7,2,52,3,2,2,1,2,0
5201,2,1,3,0,2,2,1,2,30,2,2,2,2,2,1
5202,2,0,1,1,1,1,1,2,63,3,2,2,2,1,1
5302,2,0,3,1,1,1,1.3,2,53,3,2,2,1,2,0
5501,1,3,2,1,2,3,2.5,3,37,2,2,2,1,1,1
5502,2,3,2,1,2,3,2.5,3,37,2,2,2,1,3,1
5601,2,2,2,1,2,2,2,3,42,2,2,2,1,1,1
5601,1,0,3,1,1,1,.7,1,61,3,2,2,1,1,0
5602,2,1,1,1,2,2,1.3,2,47,3,2,2,2,1,0
5602,2,0,3,1,1,1,.7,1,58,3,2,2,1,1,1
5702,1,0,2,0,1,1,3.5,3,50,3,2,2,1,1,0
5703,2,0,2,1,1,1,3.5,3,49,3,2,2,1,2,1
6303,2,0,1,1,1,1,1,2,35,2,1,1,2,1,0
6801,1,1,3,1,2,2,.7,1,50,3,2,2,1,1,0
7901,1,1,1,1,2,2,1.5,2,30,2,2,2,2,1,0
8603,1,0,1,1,1,1,1,2,27,1,1,1,2,1,0
8701,1,0,1,1,1,1,1.3,2,62,3,2,2,2,,0
8801,1,0,1,1,1,1,.5,1,62,3,2,2,2,1,0
8903,2,0,1,1,1,1,1,2,22,1,1,1,1,1,1
9101,2,0,1,1,1,1,.4,1,58,3,3,3,2,2,1
9201,1,0,3,1,1,1,1.3,2,51,3,2,2,1,1,1
9201,2,0,1,1,1,1,.9,1,54,3,2,2,2,1,0
9803,1,0,1,0,1,1,.5,1,21,1,1,1,2,3,1
9803,2,4,2,1,2,3,4.5,3,22,1,3,3,1,3,0
9904,1,0,3,0,1,1,.5,1,15,1,1,1,1,1,0
10002,2,,1,1,,,.8,1,54,3,2,2,2,2,0
10302,2,0,3,1,1,1,1,2,44,2,2,2,1,1,1
10401,1,,1,1,,,.7,1,56,3,2,2,2,1,0
10402,2,,1,1,,,.7,1,52,3,2,2,2,2,1
10504,2,0,1,1,1,1,1.2,2,48,3,1,1,1,1,1
10603,2,5,1,1,2,3,1.7,2,25,1,2,2,2,2,0
10604,2,,1,1,,,1.7,2,24,1,2,2,2,2,0
11103,2,0,1,1,1,1,1.3,2,23,1,1,1,2,1,1
11701,2,1,1,1,2,2,.6,1,45,3,3,3,2,1,1
11802,2,2,2,1,2,2,4,3,18,1,2,2,1,1,0
12501,2,0,3,1,1,1,.7,1,36,2,1,1,2,1,1
12801,2,5,3,1,2,3,2.3,3,36,2,2,2,2,2,1
12902,1,7,2,0,2,3,3,3,24,1,2,2,1,1,1
13101,2,0,3,1,1,1,1,2,26,1,2,2,2,1,1
13101,1,0,2,1,1,1,.7,1,35,2,2,2,1,1,1
13102,2,0,2,1,1,1,.7,1,32,2,2,2,1,3,1
13202,1,0,2,1,1,1,1.3,2,29,1,1,1,1,1,0
13204,1,0,2,1,1,1,1.7,2,28,1,1,1,1,1,0
13301,2,5,2,1,2,3,1.8,3,48,3,2,2,1,1,1
13401,2,0,1,1,1,1,1,2,69,3,3,3,1,2,0
13702,2,0,3,1,1,1,1,2,52,3,2,2,1,2,0
13705,2,0,2,0,1,1,1.3,2,19,1,1,1,2,1,1
13903,2,0,1,0,1,1,.8,1,26,1,1,1,2,1,0
14001,2,0,2,1,1,1,1.8,3,77,3,3,3,1,2,1
14101,2,0,3,1,1,1,.3,1,59,3,1,1,1,1,0
15201,2,0,3,1,1,1,.5,1,46,3,2,2,2,1,0
15401,2,0,3,1,1,1,2,3,32,2,1,1,1,1,1
15501,1,2,2,0,2,2,1.3,2,45,3,2,2,1,1,1
15801,2,1,2,1,2,2,1.7,2,54,3,2,2,1,1,1
15801,2,,1,1,,,.5,1,57,3,2,2,2,2,1
15901,2,0,3,1,1,1,3.5,3,40,2,1,1,1,1,1
15902,2,1,2,1,2,2,.8,1,25,1,2,2,2,1,1
16002,2,2,1,1,2,2,.3,1,32,2,2,2,2,1,1
16501,2,1,2,0,2,2,3,3,40,2,2,2,1,2,1
16902,2,0,1,1,1,1,.3,1,46,3,2,2,2,2,0
17101,1,0,3,0,1,1,1,2,24,1,1,1,1,1,0
17201,2,0,2,1,1,1,.5,1,52,3,3,4,1,1,0
17202,1,1,1,1,2,2,.7,1,52,3,2,2,2,1,0
17403,2,0,1,0,1,1,.4,1,17,1,1,1,2,1,0
17404,1,0,2,0,1,1,.9,1,22,1,1,1,2,1,0
17702,2,0,3,0,1,1,.4,1,37,2,1,1,2,1,1
17904,2,0,1,1,1,1,.9,1,20,1,1,1,2,1,0
18001,1,0,1,1,1,1,.9,1,59,3,2,2,2,1,0
18101,2,0,3,1,1,1,.5,1,32,2,1,1,2,1,1
18202,2,2,1,1,2,2,.4,1,38,2,2,2,2,2,1
19002,1,0,3,0,1,1,1,2,22,1,2,2,2,1,0
19201,2,1,3,1,2,2,2,3,51,3,2,2,1,3,1
19404,1,0,3,1,1,1,1.6,2,28,1,1,1,2,1,0
19602,2,2,1,1,2,2,1,2,31,2,2,2,2,1,0
19701,2,0,1,1,1,1,.9,1,68,3,2,2,2,2,1
19901,1,0,2,1,1,1,2,3,63,3,2,2,1,1,1
19902,2,0,2,1,1,1,2,3,59,3,2,2,1,3,0
20001,2,0,1,1,1,1,1,2,32,2,1,1,1,3,1
20002,2,1,2,0,2,2,3,3,23,1,2,2,2,3,0
20203,2,0,1,1,1,1,1.2,2,16,1,1,1,1,1,0
20205,2,0,1,1,1,1,1.2,2,16,1,1,1,1,1,1
20702,2,2,1,1,2,2,1.5,2,43,2,2,2,1,2,1
